time,acc_x_1,acc_y_1,acc_z_1_1,acc_x_2,acc_y_2,acc_z_1_2,gyro_1_1,gyro_2_1,gyro_3_1,gyro_1_2,gyro_2_2,gyro_3_2,altitude,temperature
0.0699997,10.419564,0.746991,0.009576806,1.225831,0.002394202,0,0.04716385,0.04716385,0.5651668,1.163109,1.163109,0.005862176,10.738204,28.15488
0.3859992,-7.158664,-2.14281,10.18972,-7.335834,0.19153616,0,0.04263402,0.04263402,0.3778438,0.2857811,0.2857811,0.00106585,10.19125,28.19199
0.697001,0.031124624,0.641646,10.520124,-1.580173,-1.7860744,0,0.3321455,0.3321455,0.0,0.6171272,0.6171272,0.0,10.429056,28.21172
1.014,0.9576808,-4.520252,6.62715,-1.211466,-8.983046,0,0.5672988,0.5672988,0.4456585,0.5510444,0.5510444,0.3858377,10.484544,28.20918
1.329,0.08619126,0.009576806,5.056554,0.0,-1.532289,0,0.2772543,0.2772543,0.0277121,0.05222666,0.05222666,0.00972588,10.822756,28.21914
1.646001,0.02394202,-4.01747,10.87925,0.07661446,-2.442086,0,0.5551746,0.5551746,-0.4739036,0.11138132,0.11138132,0.018652376,10.373568,28.21426
1.966001,-5.477932,-2.375048,10.21127,0.06943186,-2.408567,0,0.0379709,0.0379709,0.01398928,0.13722816,0.13722816,0.07847322,10.61137,28.2166
2.426,1.0749968,-1.223437,2.78685,0.1651999,1.905785,0,0.3250842,0.3250842,0.011990816,0.2964396,0.2964396,0.025580392,10.72499,28.19687
2.743001,-1.0223244,-1.173159,8.755594,-1.482011,-0.8595184,0,0.372115,0.372115,0.1420245,0.3364089,0.3364089,0.11537828,10.487184,28.21426
3.060003,-0.7326258,-0.8020576,8.69574,-1.175553,-0.7134722,0,-0.18572432,-0.18572432,0.4035574,-0.16933692,-0.16933692,0.4456585,10.682714,28.206832
3.381001,-3.847482,-0.9481038,4.666298,-5.358224,0.009576806,0,-0.4283386,-0.4283386,0.1556141,-1.0645176,-1.0645176,0.5553076,10.442266,28.201752
3.695002,-1.5729908,-1.06542,10.292672,-3.227384,-0.6919242,0,-0.2388837,-0.2388837,-0.3272158,-0.158412,-0.158412,-0.2083737,10.45812,28.22168
4.009002,-3.596091,-2.446874,3.730166,-3.062184,-3.351882,0,0.05142726,0.05142726,-0.6789464,0.2728576,0.2728576,-0.6736172,10.5004,28.2166
4.327,-1.029507,-2.073379,10.22803,-1.3263876,-2.743755,0,-0.0955268,-0.0955268,0.03317458,-0.06181929,-0.06181929,0.002931088,10.65365,28.22168
4.792002,0.002394202,-1.685518,4.05099,0.02873042,0.0,0,0.0362389,0.0362389,-0.4945543,0.0006661564,0.0006661564,-0.5402526,10.529464,28.19687
