time,acc_x,acc_y,acc_z,gyro_1,gyro_2,gyro_3,altitue,temperature
1,0.0,0.0,-4.09768,0.0500949,-0.0796056,-0.396563,10.6431,25.4867
2,0.0,0.0,-3.9648,0.0627519,-0.069147,-0.40016,10.8756,25.4842
3,0.0,0.0,-3.97557,0.0455651,-0.0670819,-0.393165,10.7699,25.4793
4,0.0,0.0,-5.24091,0.0193185,0.0972588,-0.383706,10.7382,25.4668
5,0.0,0.0,-3.50152,0.0850681,-0.307631,-0.451854,10.7805,25.457
6,0.0,0.0,-4.18147,-0.317423,-0.00413017,-0.306698,10.7699,25.452
7,0.0,0.0,-3.79601,0.0368384,-0.10492,-0.510076,10.7699,25.4445
8,0.0,0.0,-3.74453,0.0085268,0.0687473,-0.54758,10.8333,25.4422
9,0.0,0.0,-4.40533,-0.154748,-0.417547,-0.598008,10.9919,25.4422
10,0.0,0.0,-4.09528,0.0489625,-0.04783,-0.408953,10.865,25.4422
11,0.0,0.0,-4.06296,0.05216,-0.0768744,-0.39523,11.013,25.4199
12,0.0,0.0,-4.64954,-0.384372,-0.240749,0.0767412,10.939,25.4125
13,0.0,0.0,-3.39019,-0.130367,-0.355661,0.420278,11.0764,25.3777
14,0.0,0.0,-2.15478,-0.27852,-0.644373,0.913899,10.791,25.4199
15,0.0,0.0,-4.35745,0.13483,-0.0330413,-0.362256,10.8862,25.4322
16,0.0,0.0,-4.14197,0.0564234,-0.00559571,-0.372514,11.0024,25.4742
17,0.0,0.0,0.0,-0.0721447,-0.331146,-0.0485628,11.087,25.5016
18,0.0,0.0,0.0,0.0,0.0,0.0,10.6748,25.5758
19,0.0,0.0,0.0,0.0,0.0,0.0,10.6219,25.6377
20,0.0,0.0,0.0251391,0.263731,0.147554,-0.657096,10.6854,25.7094
21,0.0,0.0,0.0,0.0,0.0,0.0,10.6536,25.7639
22,0.0,0.0,-4.17669,0.0523599,-0.073477,-0.396696,10.6642,25.7861
23,0.0,0.0,-2.11647,0.0506279,-0.0741432,-0.395563,10.6219,25.8232
24,0.0,0.0,-4.20182,0.0506945,-0.082137,-0.406755,10.6642,25.8529
